iso_code,continent,location,date,total_cases,total_deaths,total_cases_per_million,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,handwashing_facilities,medical_doctors,ghs_score,health_expenditure_5y_avg,GDP growth (annual %),GDP per capita growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Population density (people per sq. km of land area),"Population, total",Surface area (sq. km),Proportion of seats held by women in national parliaments (%),"International tourism, expenditures (% of total imports)","International tourism, expenditures (current US$)","International tourism, number of arrivals","International tourism, receipts (% of total exports)","International tourism, receipts (current US$)",imports,lockdown_date,lockdown_type,di_score,di_electoral_process_and_pluralism,di_functioning_of_government,di_political_participation,di_political_culture,di_civil_liberties,di_regime_type,household_avg_people,household_members_1,household_members_2_3,household_members_4_5,household_members_6_or_more,smokers_percentage,life_expectancy_at_birth,wage_and_salaried_workers_percentage_employed,mortality_rate_per_1000
ABW,North America,Aruba,2020-06-23,101.0,3.0,945.994,7.452000000000001,35973.781,,,11.62,,,,,,,,,,,588.027777777778,105845.0,180.0,,15.952799872418199,358000000.0,1082000.0,79.60967013355929,2024000000.0,2189385474.8603396,,,,,,,,,,2.89,21.37,46.77,25.59,6.28,,76.043105,,89.78258
AFG,Asia,Afghanistan,2020-06-23,29143.0,598.0,748.632,1.337,1803.987,,597.029,9.59,37.746,2.78,32.3,10.235867053270347,1.03066005804328,-1.35017833585495,550.0,2240.0,20316592975.0527,83258756819.3422,56.937760009803,37172386.0,652860.0,27.7,2.8307157244166805,226000000.0,,3.10661959202303,50000000.0,7233182126.38915,24/03/2020,Full,2.85,3.42,0.64,3.89,2.5,3.82,Authoritarian,8.04,0.19,6.45,16.84,76.52,,64.52160500000001,14.011595087051381,215.26811
AGO,Africa,Angola,2020-06-23,183.0,9.0,5.568,1.362,5819.495,,276.045,3.94,26.664,2.15,25.2,2.655480094254014,-2.1334932567635603,-5.28777959390334,3370.0,6780.0,103839890559.318,208811611890.126,24.713052057431607,30809762.0,1246700.0,30.5,2.94352197094216,762000000.0,218000.0,1.3457717330498,557000000.0,25887360494.1475,24/03/2020,Full,3.72,2.25,2.86,5.56,5.0,2.94,Authoritarian,4.82,10.81,23.9,28.46,36.83,,60.83699,29.691163864135735,274.20126500000003
AIA,North America,Anguilla,2020-06-23,3.0,0.0,199.973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Europe,Albania,2020-06-23,1995.0,44.0,693.238,8.642999999999999,11803.431,1.1,304.195,10.08,,12.16,52.9,,4.145237935948391,4.4025148702460495,4860.0,13820.0,13933199599.7948,39612746974.6105,104.61226277372299,2866376.0,28750.0,27.9,25.5314674703334,1750000000.0,5340000.0,48.1951679829468,2306000000.0,6908299985.070661,08/03/2020,Full,5.89,7.0,5.36,4.44,5.0,7.65,Hybrid regime,3.3,9.95,48.08,32.51,9.45,29.3705,78.474745,43.92888944625854,71.61964499999999
AND,Europe,Andorra,2020-06-23,855.0,52.0,11065.812,,,,109.135,7.97,,33.33,30.5,10.2571928501129,1.62934547096762,1.6227466770119,,,,,163.842553191489,77006.0,470.0,32.1,,,3042000.0,,,,16/03/2020,Full,,,,,,,,,,,,,33.444,,,
ARE,Asia,United Arab Emirates,2020-06-23,45303.0,303.0,4580.502,0.526,67293.483,,317.84,17.26,,25.28,46.7,3.50889950990677,1.72634934292543,0.20793637115994604,40880.0,67870.0,393687216384.538,653689900188.832,135.609110109828,9630959.0,83600.0,22.5,,17999000000.0,21286000.0,,21390000000.0,288397549353.302,24/03/2020,Full,2.76,0.0,3.93,2.22,5.0,2.65,Authoritarian,,,,,,19.481,78.138345,96.11809417724614,57.33246
ARG,South America,Argentina,2020-06-23,44918.0,1043.0,993.854,7.441,18933.907,0.6,191.032,5.5,,39.9,58.6,8.41735973954201,-2.4817924450927404,-3.46737624314432,12390.0,22470.0,551170581779.708,999570543746.213,16.2585100979651,44494502.0,2780400.0,38.9,15.093929189435999,13092000000.0,6942000.0,7.810454221768791,5999000000.0,67914684752.606,20/03/2020,Full,7.02,9.17,5.36,6.11,6.25,8.24,Flawed democracy,3.26,17.63,42.3,29.05,11.01,22.0075,76.43859499999999,74.83730895996095,113.62251499999999
ARM,Asia,Armenia,2020-06-23,20588.0,360.0,6947.814,7.5710000000000015,8787.58,1.8,341.01,7.11,94.043,44.02,50.2,10.186804085969909,5.19999999965322,4.95169918007964,4230.0,13190.0,12474731643.2005,38944309505.1845,103.68022479803301,2951776.0,29740.0,18.1,21.933781319288997,1458000000.0,1652000.0,26.317195576268606,1237000000.0,7234272552.6808405,24/03/2020,Full,5.54,7.5,5.36,6.11,3.13,5.59,Hybrid regime,3.54,15.19,36.17,32.3,16.34,27.053,74.748805,59.95963012695316,120.05066500000001
ATG,North America,Antigua and Barbuda,2020-06-23,26.0,3.0,265.501,4.631,21490.943,,191.511,13.17,,29.56,29.0,4.85242560505867,7.389197162323509,6.430026467107201,15890.0,20520.0,1530376688.8429198,1975849824.9485602,218.83181818181802,96286.0,440.0,11.1,10.134036918054,113000000.0,269000.0,84.3106823458553,971000000.0,686701666.666667,,None,,,,,,,,,,,,,,76.84069,,105.245405
